"北京大学生物动态光学成像中心","10.0.10.105","cf-mini","pku_biopic","e143901.server.genee.cn","1",""
"北京大学谢晓亮课题组","10.0.10.105","lab","pku_huanglei","e143901.server.genee.cn","1",""
"东南大学生科院韩俊海课题组","10.0.10.107","lab","seu_ils_hjh","e144201.server.genee.cn","0","已撤销客户"
"河南师范大学","10.0.10.108","cf-mini","henannu","e144301.server.genee.cn","1",""
"天津商业大学","10.0.10.109","cf","tjcu","e144501.server.genee.cn","1",""
"厦门大学贵重仪器设备使用收费管理系统","10.0.10.110","cf","xmu","e144502.server.genee.cn","1",""
"中科院巴斯德所孙兵课题组","10.0.10.111","lab","pasteur","e144801.server.genee.cn","1",""
"淄博高新区生物医药技术平台","10.0.10.112","cf-lite","zibo_gao","e144802.server.genee.cn","1",""
"南京工业大学","10.0.10.113","cf","njtech","e144803.server.genee.cn","1",""
"大连医科","10.0.10.114","cf-lite","dlmedu","e144804.server.genee.cn","1",""
"中国农业大学食品科学与营养工程学院","10.0.10.115","cf-mini","cau_shi","e144901.server.genee.cn","1",""
"东北农业⼤学⿊⻰江省动物营养与饲料科学重点实验室","10.0.10.116","lab","neau_hei","e144902.server.genee.cn","1",""
"南京工业大学文件系统服务器","10.0.10.118","cf","njtech_nfs","e145002.server.genee.cn","0","不提供外网连接, 不进行备份同步"
"西安交通大学","10.0.10.119","cf","xjtu","e150101.server.genee.cn","1",""
"中国海洋大学食品学院公共仪器平台预约系统","10.0.10.120","cf-lite","ouc_shi","e150301.server.genee.cn","1",""
"山东大学显微表征平台","10.0.10.121","cf","sdu","e150601.server.genee.cn","1",""
"复旦大学高分子科学系","10.0.10.122","cf-lite","fudan_gao","fudan-gao.cf-lite.labscout.cn","1",""
"国内在线版 Lims 站点","10.0.10.125","lab","无","cognac.genee.in","0","独立管理"
"西北农林科技大学","10.0.10.126","cf","nwsuaf","e151102.server.genee.cn","1",""
"温州医科大学","10.0.10.128","cf","wmu","e152101.server.genee.cn","1",""
"中科院营养所李于课题组","10.0.10.129","lab","cas_liyu","e152201.server.genee.cn","1",""
"天津大学山东研究院大型仪器公共平台","10.0.10.130","cf-lite","tju_sdu","e151005.server.genee.cn","1",""
"苏州大学剑桥－苏大基因组资源中心","10.0.10.131","cf-lite","suda","e151101.server.genee.cn","1",""
"复旦大学高分子科学系 nfs 服务器","10.0.10.132","未知","未知","fudan-gao-win.cf-lite.labscout.cn","0","NFS 站点, 不予备份"
"武汉大学分析测试中心","10.0.10.133","cf-mini","whu_atc","e151701.server.genee.cn","0","不提供外网连接, 不进行备份同步"
"武汉大学基础医学院","10.0.10.134","cf-lite","wbm","e152701.server.genee.cn","1",""
"长春工业大学","10.0.10.135","cf","ccut","e152901.server.genee.cn","1",""
"复旦大学化学系","10.0.10.136","cf-lite","fudan_chem","e153001.server.genee.cn","1",""
"复旦大学化学系 nfs 服务器","10.0.10.137","未知","未知","e153001-win.server.genee.cn","0","NFS 站点, 不予备份"
"华中科技大学马聪实验室","10.0.10.138","lab","hust_mac","e153101.server.genee.cn","0","不提供外网连接, 不进行备份同步"
"天津市基理科技","10.0.10.139","cf","geneegroup","e153501.server.genee.cn","1",""
"中科院动物所干细胞与⽣殖生物学国家重点实验室","10.0.10.140","lab","ioz_rpb","e153502.server.genee.cn","1",""
"ucloud 国内试用客户","10.0.10.142","未知","未知","无","0","ucloud 国内试用客户"
"南京信息工程大学大型仪器设备共享管理系统","10.0.10.143","cf","nuist","e153801.server.genee.cn","1",""
"淄博⾼高新技术产业开发区先进陶瓷研究院","10.0.10.144","cf-lite","zibo_china","e153701.server.genee.cn","1",""
"广西大学大型仪器共享管理系统","10.0.10.145","cf","gxu","e153901.server.genee.cn","1",""
"上海科技大学－iHuman研究所","10.0.10.147","cf-lite","tech_ihuman","e154201.server.genee.cn","1",""
"集美大学-水产学院","10.0.10.148","cf-lite","jmu_fishery","e154202.server.genee.cn","1",""
"湖南中医药大学药学院","10.0.10.149","cf-lite","hnctcm_yaoxy","e154301.server.genee.cn","0","临时断网, EP 跟进"
"北京理工大学虚拟实验室","10.0.10.150","cf","bit","e154302.server.genee.cn","0","不提供外网连接, 不进行备份同步"
"重庆大学创新药物研究中心","10.0.10.151","cf-lite","cqu_idrc","e154303.server.genee.cn","1",""
"南洋理工学院大型仪器共享管理系统","10.0.10.152","cf-lite","nyist","e154304.server.genee.cn","1",""
